x,Ec=0V,Ec=-1.0V,Ec=-2.0V,Ec=-3.0V,Ec=-4.0V,Ec=-5.0V,Ec=-6.0V
39.962,,2.582,,,,,
40,,2.59,,,,,
41,12.967,2.808,0.144,,,,
42,13.318,3.027,0.141,,,,
43,13.672,3.247,0.14,,,,
44,14.029,3.47,0.141,,,,
45,14.389,3.697,0.146,,,,
46,14.754,3.928,0.156,,,,
47,15.121,4.166,0.169,,,,
48,15.491,4.41,0.188,,,,
49,15.865,4.661,0.212,,,,
50,16.241,4.92,0.24,,,,
51,16.619,5.187,0.273,,,,
52,17,5.462,0.311,,,,
53,17.383,5.745,0.354,,,,
54,17.768,6.037,0.403,,,,
55,18.155,6.336,0.457,,,,
56,18.544,6.641,0.516,,,,
57,18.937,6.954,0.58,,,,
58,19.331,7.273,0.647,,,,
59,19.729,7.597,0.716,,,,
60,20.129,7.927,0.787,,,,
61,20.533,8.262,0.859,0.037,,,
62,20.94,8.602,0.933,0.031,,,
63,21.35,8.946,1.009,0.029,,,
64,21.761,9.294,1.09,0.033,,,
65,22.175,9.645,1.177,0.046,,,
66,22.589,9.999,1.271,0.071,,,
67,23.005,10.354,1.373,0.106,,,
68,23.42,10.711,1.485,0.149,,,
69,23.835,11.066,1.606,0.191,,,
70,24.248,11.42,1.738,0.227,,,
71,24.658,11.77,1.881,0.252,,,
72,25.066,12.121,2.036,0.262,,,
73,25.473,12.476,2.204,0.262,,,
74,25.883,12.84,2.387,0.258,,,
75,26.299,13.216,2.588,0.257,,,
76,26.722,13.606,2.812,0.262,,,
77,27.153,14.008,3.063,0.276,,,
78,27.592,14.422,3.34,0.3,,,
79,28.038,14.848,3.643,0.334,,,
80,28.492,15.287,3.97,0.376,,,
81,28.952,15.743,4.312,0.426,0.032,,
82,29.418,16.22,4.662,0.482,0.037,,
83,29.888,16.724,5.017,0.546,0.041,,
84,30.364,17.256,5.382,0.617,0.045,,
85,30.843,17.811,5.759,0.698,0.048,,
86,31.325,18.382,6.151,0.79,0.051,,
87,31.81,18.959,6.558,0.904,0.054,,
88,32.297,19.536,6.977,1.052,0.057,,
89,32.786,20.11,7.404,1.237,0.059,,
90,33.277,20.681,7.836,1.43,0.061,,
91,33.769,21.248,8.272,1.613,0.064,,
92,34.263,21.811,8.709,1.781,0.068,,
93,34.758,22.37,9.146,1.939,0.073,,
94,35.255,22.924,9.58,2.093,0.08,,
95,35.753,23.473,10.011,2.243,0.088,,
96,36.252,24.017,10.436,2.392,0.099,,
97,36.752,24.553,10.854,2.541,0.113,,
98,37.253,25.083,11.262,2.69,0.129,,
99,37.755,25.604,11.661,2.84,0.148,,
100,38.259,26.116,12.056,2.993,0.171,,
101,38.764,26.617,12.448,3.149,0.198,0.138,
102,39.27,27.111,12.843,3.31,0.228,0.134,
103,39.778,27.598,13.242,3.479,0.262,0.13,
104,40.288,28.08,13.646,3.659,0.299,0.127,
105,40.801,28.558,14.056,3.85,0.339,0.124,-0.022
106,41.318,29.035,14.47,4.054,0.381,0.121,-0.033
107,41.841,29.513,14.888,4.269,0.427,0.119,-0.044
108,42.373,29.995,15.309,4.489,0.474,0.117,-0.054
109,42.918,30.481,15.733,4.707,0.523,0.116,-0.063
110,43.476,30.972,16.16,4.919,0.573,0.115,-0.071
111,44.036,31.468,16.59,5.13,0.625,0.115,-0.076
112,44.591,31.968,17.023,5.345,0.678,0.115,-0.079
113,45.142,32.471,17.46,5.567,0.732,0.115,-0.079
114,45.692,32.977,17.901,5.8,0.787,0.117,-0.076
115,46.242,33.485,18.347,6.045,0.844,0.118,-0.07
116,46.792,33.996,18.799,6.304,0.903,0.121,-0.06
117,47.344,34.51,19.256,6.577,0.965,0.124,-0.048
118,47.898,35.028,19.719,6.865,1.03,0.129,-0.033
119,48.454,35.55,20.187,7.163,1.098,0.134,-0.018
120,49.015,36.076,20.659,7.47,1.172,0.141,-0.002
121,49.58,36.608,21.136,7.784,1.251,0.15,0.014
122,50.152,37.146,21.616,8.104,1.337,0.16,0.029
123,50.732,37.691,22.101,8.429,1.431,0.174,0.042
124,51.322,38.243,22.588,8.757,1.535,0.191,0.053
125,51.922,38.801,23.08,9.087,1.651,0.212,0.061
126,52.532,39.365,23.574,9.416,1.777,0.237,0.067
127,53.15,39.934,24.07,9.746,1.915,0.264,0.069
128,53.774,40.508,24.567,10.077,2.062,0.291,0.069
129,54.401,41.086,25.064,10.412,2.219,0.317,0.066
130,55.027,41.667,25.559,10.753,2.383,0.339,0.063
131,55.649,42.251,26.051,11.102,2.553,0.357,0.058
132,56.267,42.836,26.541,11.46,2.729,0.372,0.053
133,56.879,43.421,27.029,11.826,2.909,0.384,0.048
134,57.486,44.004,27.519,12.198,3.094,0.396,0.044
135,58.086,44.583,28.011,12.576,3.283,0.406,0.04
136,58.679,45.158,28.508,12.958,3.476,0.417,0.039
137,59.266,45.727,29.011,13.346,3.674,0.429,0.041
138,59.845,46.289,29.518,13.738,3.878,0.442,0.048
139,60.417,46.843,30.029,14.136,4.089,0.457,0.059
140,60.983,47.389,30.542,14.538,4.309,0.476,0.073
141,61.546,47.926,31.055,14.946,4.542,0.5,0.091
142,62.106,48.457,31.568,15.361,4.793,0.533,0.111
143,62.665,48.982,32.08,15.784,5.067,0.581,0.13
144,63.226,49.504,32.589,16.216,5.361,0.651,0.148
145,63.791,50.023,33.098,16.657,5.667,0.744,0.164
146,64.363,50.542,33.609,17.111,5.97,0.852,0.178
147,64.948,51.061,34.123,17.578,6.265,0.959,0.191
148,65.552,51.583,34.643,18.06,6.554,1.057,0.203
149,66.169,52.111,35.172,18.553,6.838,1.146,0.215
150,66.777,52.647,35.71,19.05,7.117,1.231,0.226
151,67.365,53.192,36.26,19.542,7.393,1.313,0.237
152,67.933,53.746,36.819,20.024,7.666,1.393,0.249
153,68.485,54.305,37.381,20.492,7.935,1.473,0.261
154,69.024,54.866,37.943,20.946,8.201,1.554,0.273
155,69.554,55.424,38.499,21.387,8.465,1.635,0.288
156,70.076,55.976,39.047,21.821,8.73,1.718,0.304
157,70.592,56.518,39.582,22.25,8.996,1.804,0.323
158,71.103,57.049,40.105,22.677,9.266,1.895,0.345
159,71.612,57.568,40.618,23.103,9.542,1.991,0.37
160,72.118,58.077,41.12,23.531,9.825,2.094,0.4
161,72.621,58.574,41.612,23.962,10.117,2.206,0.433
162,73.123,59.062,42.093,24.401,10.421,2.328,0.466
163,73.624,59.541,42.563,24.849,10.738,2.461,0.501
164,74.123,60.012,43.02,25.309,11.067,2.606,0.534
165,74.621,60.476,43.466,25.781,11.408,2.762,0.567
166,75.118,60.936,43.903,26.262,11.761,2.929,0.6
167,75.614,61.391,44.334,26.75,12.125,3.104,0.632
168,76.109,61.843,44.763,27.242,12.501,3.287,0.666
169,76.604,62.291,45.198,27.735,12.886,3.475,0.701
170,77.098,62.736,45.647,28.228,13.282,3.666,0.737
171,77.592,63.178,46.106,28.719,13.686,3.859,0.777
172,78.085,63.617,46.57,29.209,14.098,4.053,0.82
173,78.578,64.053,47.029,29.699,14.518,4.251,0.867
174,79.07,64.486,47.48,30.188,14.944,4.454,0.919
175,79.562,64.916,47.923,30.677,15.376,4.664,0.976
176,80.055,65.341,48.362,31.165,15.814,4.883,1.037
177,80.548,65.764,48.795,31.653,16.256,5.111,1.101
178,81.042,66.183,49.221,32.141,16.703,5.345,1.169
179,81.537,66.6,49.634,32.629,17.153,5.585,1.239
180,82.037,,49.996,,,5.827,
180.095,82.105,,,,,,
